id,question,choices,explanation,answer
1513,"Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của \pi^2 chính xác đến hàng phần nghìn.","['A. 9,870', 'B. 9,869', 'C. 9,871', 'D. 9,8696']","Sử dụng máy tính bỏ túi ta có giá trị của \pi^2 là 9,8696044. Do đó giá trị gần đúng của \pi^2 chính xác đến hàng phần nghìn là 9,870.","A. 9,870"
1514,"Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của \sqrt3 chính xác đến hàng phần trăm","['A. 1,73', 'B. 1,732', 'C. 1,7', 'D. 1,7320']","Sử dụng máy tính bỏ túi ta có \sqrt3 = 1,732050808. Do đó: Giá trị gần đúng của \sqrt3 chính xác đến hàng phần trăm là 1,73.","A. 1,73"
1518,"Tam giác ABC có diện tích 40 cm2. Chiều cao AH có độ dài 0,8 dm. Độ dài đáy BC của tam giác ABC là:","['A. 5 cm', 'B. 10 cm', 'C.15 cm', 'D. 20 cm']","Đổi: 0,8 dm = 8 cm. Độ dài đáy BC của tam giác ABC là: 2 ${\times}$ 40 : 8 = 10 (cm)",B. 10 cm
152,4 là thương của:,"['A. 10 và 2', 'B. 2 và 2', 'C. 20 và 5', 'D. 30 và 5']",Ta có:10 : 2 = 52 : 2 = 120 : 5 = 430 : 5 = 6Vậy 4 là thương của: 20 và 5,C. 20 và 5
1526,"Thể tích của hình lập phương có cạnh 2,1cm là:","['A. 4,41cm3', 'B. 44,1cm3', 'C. 9,261cm3', 'D. 92,61cm3']","Thể tích của hình lập phương có cạnh 2,1cm là: 2,1 ${\times}$ 2,1 ${\times}$ 2,1 = 9,261 (cm3).","C. 9,261cm3"
1527,Thể tích của hình lập phương có cạnh 2dm là:,"['A. 8dm3', 'B. 80dm3', 'C. 4dm3', 'D. 40dm3']",Thể tích của hình lập phương có cạnh 2dm là: 2 ${\times}$ 2 ${\times}$ 2 = 8 (dm3),A. 8dm3
1528,"Thể tích của hình lập phương có cạnh 4,5cm là:","['A. 91,125', 'B. 911,25', 'C. 91,125cm3', 'D. 911,25cm3']","Thể tích của hình lập phương có cạnh 4,5cm là: 4,5 ${\times}$ 4,5 ${\times}$ 4,5 = 91,125 (cm3).","C. 91,125cm3"
153,4% của 8000l là:,"['A. 360 l', 'B. 280 l', 'C. 320 l', 'D. 300 l']",,C. 320 l
1530,Thể tích của hình lập phương có cạnh 9cm là:,"['A. 81cm3', 'B. 324 cm3', 'C. 486 cm3', 'D. 729 cm3']",Thể tích của hình lập phương có cạnh 9cm là: 9 ${\times}$ 9 ${\times}$ 9 = 729 (cm3).,D. 729 cm3
1531,"Thể tích của hình lập phương có cạnh bằng 3,5cm là:","['A. 42,875cm3', 'B. 12,25cm3', 'C. 14cm3', 'D. 21cm3']","Thể tích của hình lập phương là :
 3,5 x 3,5 x 3,5 = 42,875 ( cm³ )
 Đáp số : 42,875 cm³.","A. 42,875cm3"
1536,"Thể tích hình lập phương có cạnh 2,5dm là:","['A. 25dm3', 'B. 37,5dm3', 'C. 6,25dm3', 'D. 15,625dm3']","Thể tích hình lập phương có cạnh 2,5dm là: 2,5 ${\times}$ 2,5 ${\times}$ 2,5 = 15,625 (dm3).","D. 15,625dm3"
1539,"Thịt trâu gác bếp là một trong những đặc sản của đồng bào vùng núi Tây Bắc. Để làm được 1 kg thịt trâu gác bếp cần khoảng 2 900 g thịt trâu tươi. Vậy để làm được 3 kg thịt trâu gác bếp, khối lượng thịt trâu tươi cần dùng là:","['A. 2 903 g', 'B. 8 700 g', 'C. 9 kg', 'D. 6 700 g']","Để làm được 3 kg thịt trâu gác bếp, khối lượng thịt trâu tươi cần dùng là:
 2 900 × 3 = 8 700 (g)
 Đáp số: 8 700 g",B. 8 700 g
154,40% của 86 là:,"['A. 34,4', 'B. 3,44', 'C. 344', 'D. 0,344']","40% của 86 là: 40 ${\times}$ 86 : 100 = 34,4","A. 34,4"
1540,Thỏ nặng hơn gà 2 kg. Cân nặng của thỏ là:,"['A. 3 kg', 'B. 6 kg', 'C. 5 kg', 'D. 4kg']","Cân nặng của thỏ là:
 2 + 2 = 4 (kg)",D. 4kg
1544,Thứ Tư tuần này là ngày 18. Thứ Năm tuần sau là ngày:,"['A. 25', 'B. 26', 'C. 27', 'D. 28']",Thứ Năm tuần sau là ngày: $18 + 8 = 26$,B. 26
1545,Thứ Tư tuần này là ngày 20. Vậy thứ Tư tuần trước là ngày mấy?,"['A. Ngày 13', 'B. Ngày 15', 'C. Ngày 27', 'D. Ngày 12']",Thứ Tư tuần trước là ngày: 20 – 7 = 13,A. Ngày 13
155,45% của 240m2 là:,"['A. 108m2', 'B. 10,8m2', 'C. 1080m2', 'D. 120m2']",,A. 108m2
1551,"Thương của 67,89 và 0,1 là:","['A. 6,789', 'B. 67,89', 'C. 678,9', 'D. 0,6789']","Muốn chia một số thập phân cho 0,1 ta chỉ cần chuyển dấu phẩy của số đó lần lượt sang bên phải một chữ số.
 Vậy 67,89 : 0,1 = 678,9","C. 678,9"
1557,Tỉ số phần trăm của $\frac{3}{4}$ và $\frac{2}{5}$ là:,"['A. 187,5%', 'B. 1,875%', 'C. 53,33%', 'D. 53%']","Tỉ số phần trăm của $\frac{3}{4}$ và $\frac{2}{5}$ là: $\frac{3}{4}$ : $\frac{2}{5}$ ${\times}$ 100% = 187,5%
 Đáp số: 187,5%","A. 187,5%"
1558,"Tỉ số phần trăm của 1,2 và 2,5 là:","['A. 0,48%', 'B. 48%', 'C. 4,8%', 'D. 480%']","Tỉ số phần trăm của 1,2 và 2,5 là: 1,2 : 2,5 ${\times}$ 100% = 48%.",B. 48%
156,47 là hiệu của:,"['A. 60 và 23', 'B. 38 và 9', 'C. 72 và 25', 'D. 91 và 65']",,C. 72 và 25
1567,Tỉ số phần trăm của 28 và 80 là:,"['A. 0,35%', 'B. 35%', 'C. 3,5%', 'D. 0,035%']",số phần trăm của 28 và 80 là: 28 : 80 ${\times}$ 100% = 35%.,B. 35%
157,5 là thương của hai số nào?,"['A. 14 và 2', 'B. 18 và 2', 'C. 25 và 5', 'D. 15 và 5']",Ta có: 14 : 2 = 718 : 2 = 925 : 5 = 515 : 5 = 3Vậy 5 là thương của 25 và 5.,C. 25 và 5
1570,Tỉ số phần trăm của 32 và 50 là:,"['A. 64%', 'B. 65%', 'C. 46%', 'D. 63%']",Tỉ số phần trăm của 32 và 50 là: 32 : 50 ${\times}$ 100% = 64%.,A. 64%
1571,Tỉ số phần trăm của 4 và 1000 là:,"['A. 0,4%', 'B. 0,04%', 'C. 40%', 'D. 4%']","Tỉ số phần trăm của 4 và 1000 là: 4 : 1000 = 0,004 = 0,4%.","A. 0,4%"
1572,Tỉ số phần trăm của 48 và 75 là:,"['A. 0,64%', 'B. 6,4%', 'C. 64%', 'D. 60%']",Tỉ số phần trăm của 48 và 75 là:48 : 75 ${\times}$ 100% = 64% Đáp số: 64%,C. 64%
1573,Tỉ số phần trăm của 54 và 300 là:,"['A. 0,18 %', 'B. 18 %', 'C. 1,8 %', 'D. 180 %']","Tỉ số phần trăm của 54 và 300 là : $\frac{54}{300}.100% =0,18.100 =18%$",B. 18 %
1574,Tỉ số phần trăm của 58 và 80 là:,"['A. 59,8%', 'B. 80,59%', 'C. 72,5%', 'D. 0,725%']","Tỉ số phần trăm của 58 và 80 là: 58 : 80 ${\times}$ 100% = 72,5%","C. 72,5%"
1576,Tích của 14 253 và 3 là:,"['A. 32 659', 'B. 42 759', 'C. 32 759', 'D. 42 659']",14 253 ${\times}$ 3 = 42 759 Tích của 14 253 và 3 là: 42 759,B. 42 759
1578,Tích của 5 và 6 là số liền sau của:,"['A. 30', 'B. 29', 'C. 10', 'D. 12']","Tích của 5 và 6 là: 5 ${\times}$ 6 = 30
 Bài toán quay về tìm số liền trước của 30.
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 30 là: 30 – 1 = 29
 Vậy Tích của 5 và 6 là số liền sau của: 29.",B. 29
1579,Tích của 5 và số liền trước số lớn nhất có một chữ số là:,"['A. 35', 'B. 50', 'C. 45', 'D. 40']","Số lớn nhất có một chữ số là: 9
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 9 là: 9 – 1 = 8
 Vậy tích của 5 và số liền trước số lớn nhất có một chữ số là: 5 ${\times}$ 8 = 40",D. 40
158,5 là thương của hai số nào?,"['A. 8 và 2', 'B. 15 và 5', 'C. 30 và 5', 'D. 10 và 2']",,D. 10 và 2
1580,Tích của 5 và số lớn nhất có một chữ số là:,"['A. 14', 'B. 35', 'C. 40', 'D. 45']","Số lớn nhất có một chữ số là: 9
 Vậy tích 5 và số lớn nhất có một chữ số là: 5 ${\times}$ 9 = 45",D. 45
1585,Tiết học Toán bắt đầu lúc 9 giờ 5 phút. Thầy giáo dành 15 phút để kiểm tra bài cũ và 30 phút để dạy bài mới. Vậy tiết học Toán kết thúc lúc:,"['A. 9 giờ 20 phút', 'B. 10 giờ kém 10 phút', 'C. 9 giờ 35 phút', 'D. 10 giờ kèm 15 phút']","Tiết Toán kết thúc lúc: 9 giờ 5 phút + 15 phút + 30 phút = 9 giờ 50 phút
 Đổi 9 giờ 50 phút = 10 giờ kém 10 phút",B. 10 giờ kém 10 phút
159,5 tạ 36 kg = …. kg. Số cần điền vào chỗ chấm là:,"['A. 536', 'B. 5036', 'C. 5036', 'D. 5063']",,A. 536
1599,Tìm số gần đúng của a = 2851275 với độ chính xác d = 300,"['A. 2851000', 'B. 2851575', 'C. 2850025', 'D. 2851200']","Vì độ chính xác đến hàng trăm nên ta quy tròn a đến hàng nghìn, vậy số quy tròn của a là 2851000.",A. 2851000
16,Hương và Hồng hẹn nhau lúc 10 giờ 40 phút sáng. Hương đến chỗ hẹn lúc 10 giờ 20 phút còn Hồng lại đến muộn mất 15 phút. Hỏi Hương phải đợi Hồng trong bao nhiêu lâu?,"['A. 20 phút', 'B. 35 phút', 'C. 55 phút', 'D. 1 giờ 20 phút']",,B. 35 phút
160,50 : 5 ? : 2 2 ${\times}$ 4,"['A. 20', 'B. 18', 'C. 16', 'D. 14']",,B. 18
1600,"Tìm số gần đúng của a = 5,2463 với độ chính xác d = 0,001.","['A. 5,25', 'B. 5,24', 'C. 5,246', 'D. 5,2']","Vì độ chính xác đến hàng phần nghìn nên ta quy tròn a đến hàng phần trăm, vậy số quy tròn của a là 5,25.","A. 5,25"
1602,"Tìm số x sao cho 4,9 ${\times}$ x = 6,2 ${\times}$ 9,8","['A. 12,4', 'B. 9,8', 'C. 6,2', 'D. 12,2']","4,9 ${\times}$ x = 6,2 ${\times}$ 9,84,9 ${\times}$ x = 60,76x = 60,76 : 4,9x = 12,4
 Vậy x = 12,4","A. 12,4"
161,50 là tích của hai số nào?,"['A. 7 và 2', 'B. 2 và 10', 'C. 10 và 5', 'D. 5 và 9']",Ta có:Tích của 7 và 2: 7 ${\times}$ 2 = 14Tích của 2 và 10: 2 ${\times}$ 10 = 20Tích của 10 và 5: 10 ${\times}$ 5 = 50Tích của 5 và 9: 5 ${\times}$ 9 = 45Vậy 50 là tích của 10 và 5.,C. 10 và 5
162,50% của 149kg là:,"['A. 74,4kg', 'B. 75,4kg', 'C. 75,5kg', 'D. 74,5kg']","50% của 149kg là: 149 ${\times}$ 50 : 100 = 74,5 (kg).","D. 74,5kg"
163,54 ha 45m2 = ……… ha. Số thích hợp cần điền vào chỗ chấm là:,"['A. 54,45', 'B. 54,045', 'C. 54,0045', 'D. 54,0450']",,"C. 54,0045"
1634,Tổng của $92+6+\frac{5}{100}$ là:,"['A. 92,65', 'B. 98,5', 'C. 98,05', 'D. 926,05']","Ta có: $92+6+\frac{5}{100}=98+\frac{5}{100}=\frac{9800+5}{100}=\frac{9805}{100}=98,05$
 Vậy tổng của $92+6+\frac{5}{100}$ là : 98,05","C. 98,05"
1637,Tổng của 34 và 11 là:,"['A. 23', 'B. 54', 'C. 45', 'D. 44']",Tổng của 34 và 11 là: 34 + 11 = 45,C. 45
1638,"Tổng của 34,8; 9,5 và 26,7 là:","['A. 80', 'B. 71', 'C. 156,5', 'D. 146,5']","Tổng của 34,8; 9,5 và 26,7 là: 
 34,8 + 9,5 + 26,7 = 44,3 + 26,7 = 71",B. 71
1639,"Tổng của 4,8 và 3,27 là:","['A. 8,007', 'B. 8,7', 'C. 8,07', 'D. 5,127']","Ta có: $4,8 + 3,27 = 8,07$ .Vậy tổng của 4,8 và 3,27 là 8,07.","C. 8,07"
164,58 có số liền trước là:,"['A. 59', 'B. 61', 'C. 57', 'D. 60']","Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.Số liền trước của 58 là: 58 – 1 = 57",C. 57
1641,Tổng của 7 và 6 là số liền sau của:,"['A. 11', 'B. 12', 'C. 13', 'D. 14']","Tổng của 7 và 6 là: 7 + 6 = 13
 Số cần tìm là số liền trước của 13.
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy 13 số liền sau của: 13 – 1 = 12",B. 12
1644,"Tổng của 9316 và 254,8 là:","['A. 957,08', 'B. 9570,8', 'C. 95,708', 'D. 95708']","Ta có: $9316 + 254,8 = 9570,8$ Vậy tổng là 9570,8","B. 9570,8"
1646,Tổng của số lớn nhất có một chữ số và số liền trước của nó là:,"['A. 17', 'B. 16', 'C. 18', 'D. 19']","Số lớn nhất có một chữ số: 9
 Số liền trước của 9 là: 9 – 1 = 8
 Tổng của số lớn nhất có một chữ số và số liền trước của nó là: 9 + 8 = 17",A. 17
165,5kg 23g = ……….kg,"['A. 5,023kg', 'B. 5,23kg', 'C. 5230kg', 'D. 5023kg']",,"A. 5,023kg"
1650,"Trên bản đồ có ghi tỉ lệ 1 : 1 000, có chiều dài một bồn hoa hình bình hành đo được 12 cm. Chiều dài bồn hoa hình bình hành đó trên thực tế dài số xăng ti mét là:","['A. 12', 'B. 120', 'C. 1 200', 'D. 12 000']",Chiều dài bồn hoa hình bình hành đó trên thực tế dài số xăng ${-}$ ti ${-}$ mét là: 12 ${\times}$ 1 000 = 12 000 (cm),D. 12 000
1656,Trên xe buýt có 15 người. Đến điểm dừng có 4 người lên xe. Số người trên xe buýt lúc này là:,"['A. 8 người', 'B. 11 người', 'C. 12 người', 'D. 19 người']","Số người trên xe buýt lúc này là:
 15 + 4 = 19 (người)",D. 19 người
1657,"Trời bắt đầu lạnh nên bố dẫn An đi mua đệm mới. Cô bán hàng nói các đệm ở cửa hàng đều dài 20 dm và hỏi An muốn mua chiếc đệm rộng bao nhiêu. An chỉ nhớ chu vi của chiếc giường là 68 dm. Để vừa với chiếc giường, An nên mua chiếc đệm có chiều rộng là:","['A. 48 dm', 'B. 12 dm', 'C. 20 dm', 'D. 14 dm']",Chiều rộng là: 68 : 2 – 20 = 14 (dm),D. 14 dm
166,5kg bằng một phần mấy của 20kg?,"['A. 1/4', 'B. 1/5', 'C. 1/6', 'D. 1/7']",,A. 1/4
1664,Trong các phân số $\frac{12}{13}$ ; $\frac{14}{15}$ ; $\frac{17}{16}$ ; $\frac{19}{20}$ phân số có thể đổi thành hỗn số là:,"['A. $\\frac{12}{13}$', 'B. $\\frac{14}{15}$', 'C. $\\frac{17}{16}$', 'D. $\\frac{19}{20}$']",Phân số có thể đổi thành hỗn số là phân số có tử số lớn hơn mẫu số. Phân số $\frac{17}{16}$ có tử số lớn hơn mẫu số. Vậy phân số $\frac{17}{16}$ có thể đổi thành hỗn số,C. $\frac{17}{16}$
167,5kg được gấp lên 5 lần có giá trị là:,"['A. 35', 'B. 35kg', 'C. 25', 'D. 25kg']",,D. 25kg
1670,Trong các phân số sau phân số nào lớn hơn 1:,"['A. $\\frac{4}{7}$', 'B. $\\frac{8}{5}$', 'C. $\\frac{5}{5}$', 'D. $\\frac{3}{4}$']",Phân số lớn hơn 1 thì tử số lớn hơn mẫu số. Phân số lớn hơn 1 là: $\frac{8}{5}$,B. $\frac{8}{5}$
1671,"Trong các phân số: $\frac{5}{6}$ ; $\frac{7}{3}$ ; $\frac{9}{9}$ ; $\frac{8}{7}$ ; $\frac{5}{9}$ ; $\frac{13}{13}$ , phân số lớn hơn 1 là:","['A. $\\frac{5}{6}$ ; $\\frac{5}{9}$', 'B. $\\frac{7}{3}$ ; $\\frac{8}{7}$', 'C. $\\frac{9}{9}$ ; $\\frac{13}{13}$', 'D. Tất cả các phân số đã cho']",Phân số lớn hơn 1 thì tử số lớn hơn mẫu số. Nên phân số lớn hơn 1 là: $\frac{7}{3}$ ; $\frac{8}{7}$,B. $\frac{7}{3}$ ; $\frac{8}{7}$
1672,"Trong các phép chia dưới đây, phép chia có số dư lớn nhất là:","['A. 26 : 7', 'B. 34 : 6', 'C. 80 : 9', 'D. 70 : 8']","26 : 7 = 3 (dư 5)
 34 : 6 = 5 (dư 4)
 80 : 9 = 8 (dư 8)
 70 : 8 = 8 (dư 6)
 Trong các phép chia dưới đây, phép chia có số dư lớn nhất là: 80 : 9",C. 80 : 9
1673,"Trong các phép chia với số chia là 6, số dư lớn nhất của các phép chia đó là:","['A. 3', 'B. 4', 'C. 5', 'D. 6']","Trong các phép chia với số chia là 6, số dư lớn nhất của các phép chia đó là: 5",C. 5
1674,"Trong các phép so sánh sau, phép so sánh đúng là:","['A. 9m2 12cm2 = 9,12m2', 'B. 1,1 giờ = 1 giờ 6 phút', 'C. 81 tạ 8,1 tấn', 'D. 0,96m = 96dm']","Trong các phép so sánh sau, phép so sánh đúng là: 1,1 giờ = 1 giờ 6 phút","B. 1,1 giờ = 1 giờ 6 phút"
1679,"Trong các phép tính sau, phép tính có kết quả lớn nhất là:","['A. 9 528 + 5 132', 'B. 20 742 – 8 560', 'C. 4 509 ${\\times}$ 3', 'D. 84 630 : 7']","9 528 + 5 132 = 14 660
 20 742 – 8 560 = 12 182 
 4 509 ${\times}$ 3 = 13 527 
 84 630 : 7 = 12 090
 Ta có 14 660 13 527 12 182 12 090
 Vậy phép tính có kết quả lớn nhất là: 9 528 + 5 132",A. 9 528 + 5 132
168,6 dm2 7 cm2 = …………… cm2. Số cần điền vào chỗ chấm là:,"['A. 607', 'B. 67', 'C. 670', 'D. 6 007']","6 dm2 7 cm2 = 600 cm2 + 7 cm2 = 607 cm2
 Vậy 6 dm2 7 cm2 = 607 cm2.",A. 607
1680,"Trong các phép tính sau, phép tính có kết quả lớn nhất là:","['A. 1 215 × 5', 'B. 8 084 : 2', 'C. 7 527 : 3', 'D. 800 × 4']","So sánh kết quả của các phép tính ta được: 2 509 < 3 200 < 4 042 < 6 075.
 Vậy phép tính có kết quả lớn nhất là: 1 215 × 5",A. 1 215 × 5
1682,"Trong các phép tính sau, phép tính có kết quả nhỏ nhất là:","['A. 90 155 : 5', 'B. 13 456 + 9 528', 'C. 5218 ${\\times}$ 3', 'D. 20 590 – 1 565']","90 155 : 5 = 18 031
 13 456 + 9 528 = 22 984
 5 2l8 ${\times}$ 3 = 15 654 
 20 590 – 1 565 = 19 025
 Phép tính có kết quả nhỏ nhất là: 5 218 ${\times}$ 3",C. 5218 ${\times}$ 3
1683,"Trong các phép tính sau, phép tính có kết quả nhỏ nhất là:","['A.9 000 + 7 500', 'B. 20 000 – 3 000', 'C. 4 500 ${\\times}$ 3', 'D. 93 000 : 3']","9 000 + 7 500 = 16 500 
 20 000 – 3 000 = 17 000 
 4 500 ${\times}$ 3 = 13 500
 93 000 : 3 = 31 000
 Ta có 13 500 16 500 17 000 31 000
 Phép tính có kết quả nhỏ nhất là: 4 500 ${\times}$ 3",C. 4 500 ${\times}$ 3
1685,"Trong các phép tính sau, phép tính có kết quả nhỏ nhất là:","['A. 4 300 + 600', 'B. 6 500 – 2 800', 'C. 7 000 – 2 000', 'D. 1 300 + 2 700']","Em tính nhẩm:
 4 300 + 600 = 4 900
 6 500 – 2 800 = 3 700
 7 000 – 2 000 = 5 000
 1 300 + 2 700 = 4 000
 So sánh: 3 700 < 4 00 < 4 900 < 5 000
 Vậy phép tính có kết quả nhỏ nhất là: 6 500 – 2 800",B. 6 500 – 2 800
1688,"Trong các phép tính sau, phép tính nào có kết quả lớn nhất:","['A. 15 852 – 9 360', 'B. 16 074 : 2', 'C. 6 858 + 523', 'D. 3 728 ${\\times}$ 2']","15 852 – 9 360 = 6 492
 16 074 : 2 = 8 037 
 6858 + 523 = 7381
 3 728 ${\times}$ 2 = 7 456
 Phép tính nào có kết quả lớn nhất là: 16 074 : 2",B. 16 074 : 2
169,6 gồm:,"['A. 3 và 3', 'B. 2 và 6', 'C. 4 và 1', 'D. 5 và 2']",3 và 3 được 62 và 6 được 84 và 1 được 55 và 2 được 7Vậy 6 gồm: 3 và 3Phần 2. Tự luận,A. 3 và 3
1691,"Trong các số 214, 178, 187, 241. Số bé nhất là:","['A. 214', 'B. 178', 'C. 187', 'D. 241']","Số 214 và số 241 có chữ số hàng trăm là 2.
 Số 214 có chữ số hàng chục là 1, số 241 có chữ số hàng chục là 4, do 1 4 nên 214 241. 
 Số 178 và số 187 có chữ số hàng trăm là 1. 
 Số 178 có chữ số hàng chục là 7, số 187 có chữ số hàng chục là 8, do 7 8 nên 178 187. Do 1 2 nên 178 187 214 241.
 Vậy số nhỏ nhất trong các số trên là 178.",B. 178
1693,"Trong các số 30 768; 43 526; 15 916; 43 000, số nhỏ nhất là:","['A. 30 768', 'B. 43 526', 'C. 15 916', 'D. 43 000']","Các số đã cho đều là số có 5 chữ số.
 Số 43 526 và số 43 000 đều có chữ số hàng chục nghìn là 4 và chữ số hàng nghìn là 3.
 Xét chữ số hàng trăm: Vì 0 < 5 nên 43 000 < 43 526.
 Xét chữ số hàng chục nghìn của các số đã cho:
 Ta có: 1 < 3 < 4 nên 15 916 < 30 768 < 43 000 < 43 526.
 Vậy số nhỏ nhất trong dãy số trên là 15 916.",C. 15 916
1696,"Trong các số 512,37; 439,25; 735,49; 627,54 có chữ số 5 ở hàng phần trăm là:","['A. 512,37', 'B. 439,25', 'C. 735,49', 'D. 627,54']","Hàng phần trăm là vị trí thứ hai sau dấu phẩy.
Vậy số có chữ số 5 ở vị trí thứ hai sau dấu phẩy là: 439,25.","B. 439,25"
17,Khoảng thời gian từ 7 giờ 30 phút đến 9 giờ là:,"['A. 1 giờ 30 phút', 'B. 2 giờ 30 phút', 'C. 30 phút', 'D. 15 giờ 30 phút']",Khoảng thời gian từ 7 giờ 30 phút đến 9 giờ là: 9 giờ - 7 giờ 30 phút = 1 giờ 30 phút.,A. 1 giờ 30 phút
170,6 là kết quả của phép tính nào dưới đây:,"['A. 12 : 3', 'B. 12 : 6', 'C. 42 : 7', 'D. 40 : 8']",,C. 42 : 7
1704,"Trong các số đo độ dài sau đây, số đo bằng 41,5 m là:","['A. 41,5 dm', 'B. 4105 m', 'C. 41,500 m', 'D. 41,05 m']","Ta thấy 41,500 = 41,5 
 Nên 41,500 m = 41,5 m.","C. 41,500 m"
1705,"Trong các số đo dưới đây, số đo bằng 12,025 km là:","['A. 12250 m', 'B. 12025 m', 'C. 12 km 250m', 'D. 1225m']","12,025 km = 12 025 m",B. 12025 m
1707,"Trong các số sau, chữ số 7 trong số nào có giá trị là $\frac{7}{100}$?","['A. 398,7', 'B. 398,07', 'C. 793,8', 'D. 973,08']","Ta có: $\frac{7}{100}=0,07$. Vậy chữ số 7 có giá trị thuộc phần trăm. Vậy số có chữ số 7 có giá trị thuộc phần trăm là 398,07","B. 398,07"
171,6 là thương của hai số nào?,"['A. 25 và 5', 'B. 20 và 2', 'C. 30 và 5', 'D. 18 và 2']","Ta có: 25 : 5 = 5
 20 : 2 = 10
 30 : 5 = 6
 18 : 2 = 9
 Vậy 6 là thương của 30 và 5",C. 30 và 5
1714,"Trong các số thập phân 30,516; 30,561; 30,651; 30,615. Số thập phân lớn nhất là:","['A. 30,516', 'B. 30,561', 'C. 30,651', 'D. 30,615']","Trong các số thập phân 30,516; 30,561; 30,651; 30,615. Số thập phân lớn nhất là: 30,651.","C. 30,651"
172,6 năm 8 tháng + 7 năm 6 tháng = ?,"['A. 14 năm 2 tháng', 'B. 15 năm 2 tháng', 'C. 16 năm 2 tháng', 'D. 13 năm 2 tháng']",,A. 14 năm 2 tháng
1721,"Trong các số: 342, 529, 299, 701 số nhỏ nhất là:","['A. 342', 'B. 529', 'C. 299', 'D. 701']","Các số: 342, 529, 299, 701 là số có ba chữ số nên ta so sánh theo chiều từ trái sang phải.
 Số hàng trăm: 2 3 5 7Vậy 299 342 529 701
 Vậy số nhỏ nhất là: 299",C. 299
173,"6,13m3 = …lít:","['A. 613', 'B. 6130', 'C. 6,13', 'D. 61,3']",,B. 6130
1730,"Trong các số: 62 523: 72 236, 51 425, 62 652, số lớn nhất là:","['A. 62 523', 'B. 72 736', 'C. 51 425', 'D. 62 652']","Trong các số: 62 523: 72 236, 51 425, 62 652, số lớn nhát là: 72 736",B. 72 736
1732,"Trong các số: 653, 271, 290, 451; số nhỏ nhất là:","['A. 653', 'B. 271', 'C. 290', 'D. 451']","So sánh: 653, 271, 290, 451 theo chiều từ trái sang phải:Số hàng trăm: 2 4 6So sánh: 271, 290 có:Số hàng chục: 7 9 nên 271 290Vậy 271 290 451 653.Vậy số nhỏ nhất là: 271",B. 271
1734,"Trong các số: 825, 627, 958, 609; số lớn nhất là:","['A. 825', 'B. 627', 'C. 958', 'D. 609']","Các số: 825, 627, 958, 609 đều là số có ba chữ số nên ta so sánh theo chiều từ trái sang.
 Số hàng trăm: 6 8 9
 Vậy số lớn nhất là: 958",C. 958
1737,Trong chuồng có cả lợn và gà. An đếm được có 10 cái chân. Số gà nhiều hơn số lợn. Số lợn trong chuồng là:,"['A. 1 con', 'B. 2 con', 'C. 3 con', 'D. 4 con']","Nếu Lợn là: 1 con thì Gà là: 3 con. Đúng 
Nếu Lợn là: 2 con thì Gà là: 1 con. Không đúng.
Vậy số lợn trong chuồng là: 1 con",A. 1 con
174,675 chia cho 6 bằng:,"['A. 112', 'B. 110 dư 5', 'C. 112 dư 3', 'D. 111 dư 4']",675 : 6 = 112 (dư 3),C. 112 dư 3
1742,"Trong hộp có 1 quả bóng xanh, 1 quả bóng đỏ, 1 quả bóng vàng. Khi lấy một quả bóng từ trong chiếc hộp thì có mấy khả năng xảy ra:","['A. 0', 'B. 1', 'C. 2', 'D. 3']","Khi lấy một quả bóng từ trong chiếc hộp thì có 3 khả năng có thể xảy ra:
 - Có thể lấy được quả bóng xanh.
 - Có thể lấy được quả bóng đỏ.
 - Có thể lấy được quả bóng vàng.",D. 3
1743,Trong hộp có 15 cây bút đỏ và 33 cây bút xanh. Tỉ số của số bút xanh và số bút trong hộp là:,"['A. $\\frac{15}{33}$', 'B. $\\frac{33}{15}$', 'C. $\\frac{33}{48}$', 'D. $\\frac{15}{48}$']","Trong hộp có tổng số bút là: $15 + 33 = 48$ (bút)
 Tỉ số của số bút xanh và số bút trong hộp là: $\frac{33}{48}$",C. $\frac{33}{48}$
1744,"Trong kì nghỉ lễ vừa qua, tỉnh Bến Tre đón khoảng 74 000 lượt khách, tỉnh Lào Cai đón khoảng 98 000 lượt khách, tỉnh Kiên Giang đón khoảng 45 000 lượt khách và tỉnh Vĩnh Phúc đón khoảng 80 000 lượt khách. Vậy tỉnh có lượt khách tham quan nhiều nhất là:","['A. Bến Tre', 'B. Lào Cai', 'C. Kiên Giang', 'D. Vĩnh Phúc']","Xét các số: 74 000; 98 000; 45 000; 80 000 đều là các số có 5 chữ số
 Ta so sánh chữ số hàng chục nghìn: 4 < 7 < 8 < 9 nên
 45 000 < 74 000 < 80 000 < 98 000
 Vậy tỉnh có lượt khách tham quan nhiều nhất là tỉnh Lào Cai với 98 000 lượt khách.",B. Lào Cai
